cleaned_Addresses,lat,lng
2360 Highway 31 North Deatsville AL 36022,32.6175573921,-86.4823247944
1089 N Chestnut Prattville AL 36067-6299,32.4851391483,-86.4695860954
420 Harvest Loop Prattville AL 36066,32.4523723027,-86.4248229899
210 County Road 20 East Marbury AL 36051,32.7006956719,-86.4745485689
2040 Highway 31 N Deatsville AL 36022,32.5893409857,-86.4642578569
2708 Dutch Bend St Autaugaville AL 36003,32.4337179129,-86.6596416724
One Jody Davis Cir Daphne AL 36526-6109,30.6180075787,-87.8693662884
13355main Street Elberta AL 36530-2140,30.410590827,-87.5990797042
600 Blackburn Avenue Bay Minette AL 36507-3768,30.8881462748,-87.7744756106
21630 Highway 59 South Robertsdale AL 36567-0069,30.5401452679,-87.7083270602
23440 Us Highway 90 Robertsdale AL 36567-2504,30.5676330004,-87.6248299006
Two Pirate Drive Fairhope AL 36532-2633,30.4979767865,-87.8860941992
450 E 15th Ave Gulf Shores AL 36542-3500,30.2684108264,-87.6769851968
23589 County Road 47 Perdido AL 36562-0028,31.0042465944,-87.6233240317
200 N Oak St Foley AL 36535-2004,30.407601905,-87.6893976388
15800 4th Ave Silverhill AL 36576-0248,30.5437034275,-87.7539314087
1000 Main St Daphne AL 36526-4415,30.5911104652,-87.902747272
400 E Broadway Summerdale AL 36580-0009,30.4872125248,-87.6956733194
19757 County Road 64 Robertsdale AL 36567-3336,30.6185784791,-87.6868001629
30900 State Highway 225 Spanish Fort AL 36527-3115,30.6772103492,-87.9040352675
35480 Harriot Avestap Stapleton AL 36578-0155,None,None
6330 Bon Secour Hwy Bon Secour AL 36511-0007,30.3162755507,-87.7287635332
10183 Us Highway 31 Spanish Fort AL 36527,30.6767907129,-87.8495153847
4900 Wilson Blvd Orange Beach AL 36561,30.2965403466,-87.5587184968
1 Jaguar Loop Foley AL 36535,30.4201513416,-87.742586006
18800 Greeno Rd Fairhope AL 36532-7085,30.4987509877,-87.886143741
25820 Highway 98 Elberta AL 36530,30.414323357,-87.5843101211
600 E 15th Ave Gulf Shores AL 36542,30.2684108264,-87.6752362223
1600 East 3rd St Gulf Shores AL 36542,30.2689708118,-87.6811286765
24545 State Highway 59 Robertsdale AL 36576-0930,30.5602820634,-87.7144435491
450 N Cedar Street Foley AL 36535-4602,30.4097713243,-87.6916452505
408 N Section Street Fairhope AL 36532-3657,30.5327944865,-87.9016888634
9761 County Road 32 Fairhope AL 36532,30.4724989156,-87.8572261639
800 Blackburn Ave Bay Minette AL 36507-3754,30.8903060372,-87.7751663007
2 N Bishop Rd Fairhope AL 36532-2961,30.4504828122,-87.8705034038
2000 S Cedar St Foley AL 36535-1117,30.3852769736,-87.6918583755
2307 Main St Daphne AL 36526-4620,30.6100484005,-87.9027563722
10251 White House Fork Rd Bay Minette AL 36507-7007,30.7873372719,-87.8484958224
9300 Champions Way Daphne AL 36526-8090,30.6401757313,-87.8631245078
1 Cub Drive Robertsdale AL 36567-0529,30.5544055721,-87.7104616452
43980 Pine Grove Rd Bay Minette AL 36507-7562,30.865450177,-87.7510280644
4999 South Magnolia ST. Loxley AL 36551-1120,30.6114323231,-87.7591773637
1311 W 13th Street Bay Minette AL 36507,30.8882722636,-87.7929666233
1 Pride Pl Foley AL 36535-1199,30.3811417838,-87.6878356036
165 S. Midway Clayton AL 36016-0339,31.8688585021,-85.4492098997
One Tiger Dr Bay Minette AL 36507-3300,30.8927002735,-87.7919161828
One Plaza De Toros Spanish Fort AL 36527,30.6880690343,-87.8531689992
4950 Premiere Parkway Bessemer AL 35022,33.3707532556,-87.0023346576
2801 Arlington Ave Bessemer AL 35020-3624,33.4101716056,-86.9409273484
33899 Jimmy Faulkner Drive Spanish Fort AL 36527,30.7163869372,-87.8492742531
168 Western Bypass Clayton AL 36016,31.872721861,-85.4603710664
5012 Roselyn Road Southeast Bessemer AL 35022,33.3334728458,-86.9329931453
100 High School Drive Bessemer AL 35020-6549,33.3678646053,-86.9846606691
26651 County Road 13 Daphne AL 36526,30.611131508,-87.8689597562
81 Victoria Street Louisville AL 36048-0429,31.7775635116,-85.5490514597
710 Glenn Rd Bessemer AL 35022,33.379209203,-86.980987908
828 Cahaba River Dr West Blocton AL 35184-0248,33.1146642055,-87.1302669733
125 Owen Ave Bessemer AL 35020-7620,33.3775312633,-86.9589845471
4721 Truman Aldrich Pkwy West Blocton AL 35184,33.1124905432,-87.1295438699
1200 23rd Street N Bessemer AL 35020-3443,33.4136752007,-86.9618545059
4734 Truman Aldrich Parkway West Blocton AL 35184,33.1126503608,-87.1294365798
1621 Montgomery HWY. Centreville AL 35042-9518,32.9428164852,-87.1101204157
19456 Eastern Valley Rd Woodstock AL 35188-0098,33.21268264,-87.1334497001
160 4th Street Brent AL 35034-1509,32.9408949982,-87.1614089571
220 Birmingham Rd Centreville AL 35042-1106,32.9605749947,-87.1484066992
4811 Court J Birmingham AL 35208-1720,33.4856993564,-86.9000276045
4915 Ave Q Birmingham AL 35208-4499,33.4844405799,-86.8874176948
4000 8th Ct S Birmingham AL 35222-3617,33.5163470656,-86.771135892
7259 Highway 36 Randolph AL 36792,32.9002633332,-86.9090332976
1832 Center Way S Birmingham AL 35205-1941,33.4878515159,-86.8286828352
7601 Division Ave Birmingham AL 35206-4212,33.5601396641,-86.7282990318
517 Huffman Rd Birmingham AL 35215-8312,33.5951208276,-86.693527664
725 Mountain Dr Birmingham AL 35206-1743,33.5805171083,-86.6905395639
1000 10th Ave S Birmingham AL 35205-4606,33.4948662792,-86.8121824934
3300 F. L. Shuttlesworth DR. Birmingham AL 35207-3758,33.5562654306,-86.8041484692
1220 67th Street West Birmingham AL 35228-1422,33.4697385377,-86.897170881
4120 Inglenook Street Birmingham AL 35217-3806,33.563911865,-86.7802929734
714 12th Street S.W. Birmingham AL 35211-1954,33.4940552849,-86.8518063584
900 Springville Rd Birmingham AL 35215-7506,33.61002563,-86.6833312154
1300 Avenue F Ensley Birmingham AL 35218-2421,33.5119824776,-86.8926319784
6871 6th Court S Birmingham AL 35212-2900,33.5365254853,-86.7332962928
2425 Ave Sensley Birmingham AL 35218-2835,33.5119824776,-86.8926319784
2015 26th Ave N Birmingham AL 35234-1035,33.5451439079,-86.8240825925
1800 13th Ave S Birmingham AL 35205-5518,33.4972264851,-86.798192592
1757 Montclair Rd Birmingham AL 35210-2617,33.5285641901,-86.7145900237
400 Abraham Woods JR. BLVD. Birmingham AL 35204-3746,33.5138509666,-86.8345814247
412 12th Ct N Birmingham AL 35204,33.5246926429,-86.830000396
1425 2nd Ave W Birmingham AL 35208-5411,33.5031229207,-86.860520673
115 Fourth Avenue South Birmingham AL 35205-3023,33.4962555959,-86.8288682737
8400 1st Ave S Birmingham AL 35206-2735,33.5724278863,-86.7187066884
2000 31st Street SW Birmingham AL 35221-1717,33.4638538994,-86.8829601124
1124 Five Mile Rd Birmingham AL 35215-7216,33.6102412973,-86.7001537231
116 11th Ct W Birmingham AL 35204-2404,33.5222877909,-86.8385002448
2800 Wilson Rd SW Birmingham AL 35221-1715,33.4548324052,-86.8834761326
565 Sheridan Rd Pratt City Birmingham AL 35214,33.5365687238,-86.8807004983
5620 First Ave N Birmingham AL 35212-1602,33.5411555297,-86.7515000486
701 Erie Street Birmingham AL 35224-2634,33.5056138845,-86.9177337825
501 81st Street South Birmingham AL 35206,33.5644227348,-86.7175755777
1010 18th Ave NW Birmingham AL 35215-4154,33.6357979551,-86.7135492023
2101 Jefferson Ave SW Birmingham AL 35211-4141,33.4764891152,-86.8701984583
3900 24th St N Birmingham AL 35207,33.5591434851,-86.8233150787
1115 11th Street South Birmingham AL 35205-4611,33.4947920059,-86.810623632
200 Dalton Drive Birmingham AL 35215,33.591192168,-86.7049786363
505 43rd Street North Birmingham AL 35222,33.5310202872,-86.7724045845
71 High School St Cleveland AL 35049-0127,33.9929023971,-86.574758671
2316 7th Avenue North Birmingham AL 35203,33.5227260324,-86.8048536168
1212 Cheyenne Boulevard Birmingham AL 35215,33.6179022963,-86.680922982
900 16th Street West Birmingham AL 35208,33.514493936,-86.8638291925
4111 State Highway 160 Hayden AL 35079-6557,33.8826562441,-86.7686121587
3600 Sydney Drive Birmingham AL 35211,33.4339887965,-86.8764080063
260 Page St Blountsville AL 35031-0160,34.0850750009,-86.5870238975
125 Atwood Road Hayden AL 35079-6258,33.8873833353,-86.7667314533
1840 Pearson Avenue SW Birmingham AL 35211,33.4838158541,-86.8673238932
81 College St Blountsville AL 35031-6820,34.0853958116,-86.5889471346
77 School Rd Locust Fork AL 35097-0046,33.9076439413,-86.6174058273
901 Douglas Ave Brewton AL 36426-1501,31.1189747932,-87.0686026811
115 Stadium Dr Cleveland AL 35049-3694,33.9943660042,-86.5726339147
3996 Susan Moore Rd Blountsville AL 35031,34.0837328347,-86.4294563987
4040 Susan Moore Rd Blountsville AL 35031-7039,34.0836248945,-86.4289986752
155 School Rd Locust Fork AL 35097,33.9084978665,-86.6174408136
18770 State Highway 75 Remlap AL 35133-3208,33.831425754,-86.5840311606
1384 Old Castleberry Road Brewton AL 36426-1428,31.1606483578,-87.0603748097
911 Sardis Road Union Springs AL 36089-5108,32.1298619515,-85.7242604968
350 County Highway 12 Oneonta AL 35121-7112,33.8885932616,-86.3976146435
211 Conecuh Avenue West Union Springs AL 36089-1314,32.1461745382,-85.7184916364
1835 Douglas Ave Brewton AL 36426-1119,31.1369044203,-87.0687783717
100 Tiger Dr Greenville AL 36037-3213,31.8348732362,-86.6523973573
866 Highway 31 South Georgiana AL 36033,31.628167618,-86.7298175299
102 Butler Cir Greenville AL 36037,31.8335839411,-86.6256297794
310 Second Avenue Hayden AL 35079,33.8903248288,-86.757238619
353 Stadium Dr Alexandria AL 36250-0180,33.7744801505,-85.8856612758
4401 Saks Rd Anniston AL 36206,33.7033091645,-85.8378487509
700 Bernard Street Union Springs AL 36089-0111,32.1323607591,-85.7192884393
221 North Garland Road Mckenzie AL 36456-0158,31.5460462502,-86.7146247456
300 Overlook Rd Greenville AL 36037-1428,31.838725993,-86.6260703743
100 Cherokee Trl Ohatchee AL 36271-5085,33.7855422308,-86.0033405531
917 Clairmont Dr Weaver AL 36277-3437,33.7469421999,-85.8350002545
135 Pinson Rd Anniston AL 36201-5855,33.652478084,-85.8829686625
2525 Alexandria-wellington Rd Alexandria AL 36250-0121,33.7757599065,-85.8820632727
365 J Street Ohatchee AL 36271-5085,33.7887973539,-86.0031314419
502 BLVD. Valley AL 36854-4853,32.8221771811,-85.1736509159
250 White Plains Rd Anniston AL 36207,33.7470837478,-85.6876560022
444 School Dr Weaver AL 36277-4311,33.7533222118,-85.8145926542
265 Mark Green Road Jacksonville AL 36265-7828,33.8844575808,-85.8104575436
525 Cooper Cir Anniston AL 36201-5801,33.6530125043,-85.8792024079
31 Watson Anniston AL 36206,33.7013233616,-85.8319862171
5800 Al Highway 9 Anniston AL 36207,33.7348261106,-85.6827565209
5600 Alabama Hwy 9 Anniston AL 36207,33.7339801382,-85.6821382559
32 Watson Street Anniston AL 36206,33.7012733305,-85.8321694306
4141 Pleasant Valley Rd Jacksonville AL 36265-7828,33.8857350057,-85.8144390069
10180 County Road 222 Five Points AL 36855-0098,33.0179249622,-85.3474232483
300 Ave A SE Lafayette AL 36862-2700,32.8975008182,-85.3957710587
6001 20th Ave Valley AL 36854-4104,32.8142230733,-85.1712244299
214 1st Ave SE Lafayette AL 36862-2102,32.8990994774,-85.3984335924
3011 Phillips Rd Lanett AL 36863-6233,32.8335843708,-85.2289255214
700 Martin Luther King Drive Lafayette AL 36862,32.8887198989,-85.3971663766
292 Johnson St Valley AL 36854-0327,32.806045207,-85.1969444118
3301 23rd Dr Valley AL 36854-3102,32.8388674247,-85.1834847533
501 Highway 29 Valley AL 36854-4499,32.8016254708,-85.1810774921
1920 East Main Street Centre AL 35960-1521,34.1366734351,-85.6506888038
3655 Old Highway 9 Cedar Bluff AL 35959-0008,34.2202201825,-85.6054797866
760 Trojan Way Gaylesville AL 35973-0008,34.2712019534,-85.5614487292
725 E Main St Centre AL 35960-2128,34.1495210132,-85.6712302808
25195 Us Highway 31 Jemison AL 35085-4409,32.9655496297,-86.7474102881
1950 Sand Rock Avenue Sand Rock AL 35983-9741,34.2418008341,-85.7678673134
835 Temple Road Clanton AL 35045-3599,32.8275884181,-86.6127121262
910 Warrior Dr Centre AL 35960-1042,34.1647331319,-85.6596574926
202 County Road 510 Verbena AL 36091-0128,32.7494983063,-86.5089927417
11338 County Road 15 Maplesville AL 36750-3506,32.8277567361,-86.78442997
277 Tom Orr Drive Butler AL 36904-2635,32.0821417779,-88.2329987833
2430 County Road 29 Spring Garden AL 36275-0031,33.9727499346,-85.5541527992
1491 County Road 44 Jemison AL 35085,32.9811611212,-86.7294009846
1495 County Road 44 Jemison AL 35085-4409,32.9811545049,-86.7293326712
151 S Church Grove Hill AL 36451-0937,31.707232049,-87.775027511
10935 Highway 17 Gilbertown AL 36908-2237,31.8438500162,-88.3146879315
1214 7th St S Clanton AL 35045-3724,32.8207891297,-86.612661453
1256 Al Highway 139 Maplesville AL 36750-0146,32.8022024093,-86.8792612899
10941 Highway 17 Gilbertown AL 36908-0146,31.8439323689,-88.3146981559
450 West Cobb Street Grove Hill AL 36451-0907,31.7078999485,-87.7918367762
54 Opportunity Dr Thorsby AL 35171-7646,32.91501458,-86.7160923637
825 Temple Road Clanton AL 35045,32.8266284997,-86.6137398876
2950 Highway 43 Jackson AL 36545-2437,31.5323041489,-87.8958401711
1 Bob Riley Drive Lineville AL 36266,33.3094486867,-85.7510235889
321 Stanley DR. Jackson AL 36545-2267,31.5489892897,-87.8830148575
201 Tom Orr Drive Butler AL 36904,32.0810330415,-88.2323536276
18 West Main Lineville AL 36266-0220,33.3105984043,-85.757998165
401 Carter Drive Grove Hill AL 36451-0906,31.7028340072,-87.7647110722
21045 Main St Ranburne AL 36273-4216,33.5229314276,-85.3458522532
235 College Ave Jackson AL 36545-2711,31.5131512522,-87.8940308934
520 Evans Bridge Rd Heflin AL 36264-2235,33.6474991323,-85.5708200462
584 Evans Bridge Rd Heflin AL 36264-2235,33.646777849,-85.5707670797
9855 Highway 9 Heflin AL 36264-3925,33.5249642516,-85.6355121966
223 3rd Street SW Ashland AL 36251-0128,33.2705973268,-85.839799063
222 School St Fruithurst AL 36262-3714,33.7319049301,-85.4360137912
1 Bob Riley Drive Lineville AL 36266,33.3094486867,-85.7510235889
181 Young Dr Ranburne AL 36273-4202,33.5239416109,-85.3484731375
210 South Tyler Street New Brockton AL 36351-6590,31.3802522273,-85.9347430985
201 College Street Kinston AL 36453-0158,31.2211652411,-86.1704466195
29256 Highway 87 Jack AL 36346-9702,31.5674196675,-86.0104386538
2200 High School St Leighton AL 35646-0429,34.6964534732,-87.5268935247
850 High School Dr Cherokee AL 35616-7010,34.766326036,-87.9638883225
661 Duke Drive Heflin AL 36264,33.6461530549,-85.5726368287
504 North John Street New Brockton AL 36351-0489,31.3930330612,-85.922363739
2130 Hatton School Rd Leighton AL 35646,34.7590110161,-87.4850856364
8100 Old Highway 20 Leighton AL 35646-0399,34.6983022607,-87.522800416
6825 Woodmont Dr Tuscumbia AL 35674,34.6687948803,-87.6985462954
1305 North Pike Cherokee AL 35616-7028,34.7709637769,-87.9622065453
900 New Bethel School Rd Tuscumbia AL 35674-9802,34.6439636444,-87.7802689748
821 West Front Street Evergreen AL 36401-2933,31.4270369584,-86.9733944553
2347 Cleveland Avenue Castleberry AL 36432-9415,31.2977326477,-87.0316221889
1551 Sunset Dr Tuscumbia AL 35674-4848,34.6603322697,-87.7023009451
428 Reynolds Avenue Evergreen AL 36401-3235,31.4244098453,-86.9506024438
7575 Highway 83 Evergreen AL 36401-9716,31.5408248161,-86.9871694196
2340 Conaly Street Repton AL 36475-0007,31.4119432974,-87.2345252927
1989 Jaguar Rd Evergreen AL 36401-2700,31.4300090865,-86.9376720571
22114 Begonia ST. Florala AL 36442-0218,31.0035635917,-86.3364419323
243 Coosa County Rd 75 Rockford AL 35136-9512,33.0040992428,-86.1999693775
27463 County Road 30 Opp AL 36467-8854,31.328945641,-86.2451142066
97 Coosa County Road 75 Rockford AL 35136,33.0049733155,-86.201715315
95 Coosa County Rd 75 Rockford AL 35136,33.0049856209,-86.2017390148
29324 Straughn School Road Andalusia AL 36421-8625,31.3891955749,-86.4170432507
28551 Barrow Road Red Level AL 36474-0040,31.4026190275,-86.6119053372
29324 Straughn School Road Andalusia AL 36421,31.3891955749,-86.4170432507
28551 Barrow Road Red Level AL 36474,31.4026190275,-86.6119053372
29448 Straughn School Road Andalusia AL 36421-8625,31.3908273228,-86.4162926469
1434 Montgomery Hwy Highland Home AL 36041,31.9226198517,-86.313746366
1641 Mohegan ST. Lockhart AL 36455-0267,31.0149856031,-86.3555669438
8879 N Main St Brantley AL 36009-0086,31.5910068883,-86.2555603888
12548 Falco Road Andalusia AL 36420-9807,31.1586634947,-86.61320957
12431 Al Highway 69 N Baileyton AL 35019-0100,34.2663087125,-86.6099368939
194 First Ave Luverne AL 36049-1737,31.7141131658,-86.2744416615
841 Welcome Rd Cullman AL 35058,34.254020841,-86.6878927099
510 13th St NE Cullman AL 35055-1828,34.1889638608,-86.8421723961
608 4th Ave SE Cullman AL 35055-4324,34.173305976,-86.8364733815
303 Rosemont Ave SW Cullman AL 35055-3244,34.1728117895,-86.8566441084
800 2nd Ave NE Cullman AL 35055-2502,34.1847561785,-86.8459083769
9010 County Road 109 Bremen AL 35033-0130,33.9819966469,-87.0317202645
8999 County Road 109 Bremen AL 35033-0130,33.9820031769,-87.0313662509
700 Wesley AVE. N Cullman AL 35058,34.2538335275,-86.689245766
402 Arnold St NE Garden City AL 35070-0185,34.0122813519,-86.7490939457
High School Road Vinemont AL 35179-0189,34.2427837257,-86.8649796124
160 New Hope Road Holly Pond AL 35083-0070,34.1767093901,-86.6195194653
4314 County Road 1141 Cullman AL 35057-6651,34.2224560383,-86.9335968242
8545 County Road 747 Cullman AL 35055-9254,34.1421224382,-86.7416030697
204 Good Hope School Rd Cullman AL 35057-0120,34.1020226214,-86.8796389611
801 Commercial St Hanceville AL 35077-5523,34.0615660355,-86.7605256788
210 Good Hope School Rd Cullman AL 35057-0120,34.1020276478,-86.8796974494
216 Good Hope School RD. Cullman AL 35057-0120,34.1020326741,-86.8797559368
805 Commercial St SE Hanceville AL 35077,34.0615703568,-86.7604933041
841 Welcome Rd Cullman AL 35058,34.254020841,-86.6878927099
120 New Hope Road Holly Pond AL 35083-0070,34.1765396602,-86.6193317345
170 High School Road Vinemont AL 35179-0187,34.2428246358,-86.8656888789
799 Commercial St Hanceville AL 35077,34.0615638745,-86.7605418657
4910 County Road 940 Logan AL 35098,34.1416656986,-87.0667851332
4545 County Road 1141 Vinemont AL 35179-8799,34.2357873104,-86.9661945334
17600 Us Highway 31 N Cullman AL 35058,34.2226007626,-86.8588421918
105 High School Road Vinemont AL 35179-0187,34.2427237076,-86.8631531397
4300 County Road 1141 Cullman AL 35057-6651,34.2224560383,-86.9335968242
91 Buckner Road Holly Pond AL 35083,34.1782762295,-86.6192261235
4541 County Road 1141 Vinemont AL 35179,34.2357811941,-86.96613643
264 Creel Richardson Drive Ariton AL 36311-0750,31.6021417354,-85.7224203391
2567 Co Rd 60 Skipperville AL 36374-9801,31.5574922493,-85.5513428171
2565 Co Rd 60 Skipperville AL 36374-9701,39.122259707,-9.239600157
200 Heritage Drive Daleville AL 36322-2006,31.3100186981,-85.7151410601
626 N Daleville Ave Daleville AL 36322-2006,31.315613019,-85.7111599449
48 Second Street Midland City AL 36350-1110,31.318928162,-85.4974617623
523 South College St Newton AL 36352-9113,31.3301496174,-85.5968346253
11470 County Road 59 Midland City AL 36350-1140,31.324346884,-85.5051433648
202 S Hwy 123 Suite E Pinckard AL 36371-0218,31.3106983904,-85.5442473415
70 Academy St Plantersville AL 36758-2517,32.6528672784,-86.9245259977
5585 Water Ave Selma AL 36703-8711,32.4242179145,-86.9593349122
2863 County Road 81 Valley Grande AL 36703,32.4986100131,-86.9830007841
335 5th Ave Plantersville AL 36758-0145,32.6617590931,-86.9286636021
